Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
asp-audit,Web Application Analysis,3. Web Application Analysis,An ASP fingerprinting tool and vulnerability scanner.,,BlackArch
assetfinder,Network Scanners,52. Network Protocol Analysis,Find domains and subdomains potentially related to a given domain.,,BlackArch
astra,Web Application Analysis,3. Web Application Analysis,Automated Security Testing For REST API's.,,BlackArch
atear,Wireless Attacks,6. Wireless Attacks,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.",,BlackArch
atftp,Network Scanners,52. Network Protocol Analysis,"Client/server implementation of the TFTP protocol that implements RFCs 1350, 2090, 2347, 2348, and 2349",,BlackArch
athena-ssl-scanner,Network Scanners,52. Network Protocol Analysis,A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.,,BlackArch
atlas,Web Application Analysis,3. Web Application Analysis,Open source tool that can suggest sqlmap tampers to bypass WAF/IDS/IPS.,,BlackArch
atscan,Network Scanners,52. Network Protocol Analysis,"Server, Site and Dork Scanner.",,BlackArch
atstaketools,Vulnerability Analysis,3. Web Application Analysis,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.",,BlackArch
attacksurfacemapper,Information Gathering,1. Information Gathering / Reconnaissance,Tool that aims to automate the reconnaissance process.,,BlackArch
attk,Network Scanners,52. Network Protocol Analysis,Trend Micro Anti-Threat Toolkit.,,BlackArch
aurebeshjs,Binary Analysis,33. Code Analysis,Translate JavaScript to Other Alphabets.,,BlackArch
auto-eap,Wireless Attacks,6. Wireless Attacks,Automated Brute-Force Login Attacks Against EAP Networks.,,BlackArch
auto-xor-decryptor,Cryptography,21. Crypto & Steganography,Automatic XOR decryptor tool.,,BlackArch
automato,Exploitation Tools,8. Exploitation Tools,Should help with automating some of the user-focused enumeration tasks during an internal penetration test.,,BlackArch
autonessus,Exploitation Tools,8. Exploitation Tools,This script communicates with the Nessus API in an attempt to help with automating scans.,,BlackArch
autonse,Exploitation Tools,8. Exploitation Tools,Massive NSE (Nmap Scripting Engine) AutoSploit and AutoScanner.,,BlackArch
autopsy,Forensics,11. Forensics,The forensic browser. A GUI for the Sleuth Kit.,,BlackArch
autopwn,Exploitation Tools,8. Exploitation Tools,Specify targets and run sets of tools against them.,,BlackArch
autorecon,Network Scanners,52. Network Protocol Analysis,A multi-threaded network reconnaissance tool which performs automated enumeration of services.,,BlackArch
autosint,Information Gathering,1. Information Gathering / Reconnaissance,Tool to automate common osint tasks.,,BlackArch
autosploit,Exploitation Tools,8. Exploitation Tools,Automate the exploitation of remote hosts.,,BlackArch
autovpn,Network Scanners,52. Network Protocol Analysis,Easily connect to a VPN in a country of your choice.,,BlackArch
avaloniailspy,Reverse Engineering,30. Firmware Analysis Tools,.NET Decompiler (port of ILSpy),,BlackArch
avet,Binary Analysis,33. Code Analysis,AntiVirus Evasion Tool,,BlackArch
avml,Forensics,11. Forensics,A portable volatile memory acquisition tool for Linux.,,BlackArch
aws-extender-cli,Network Scanners,52. Network Protocol Analysis,Script to test S3 buckets as well as Google Storage buckets and Azure Storage containers for common misconfiguration issues.,,BlackArch
aws-iam-privesc,Network Scanners,52. Network Protocol Analysis,AWS IAM policy scanner that helps determine where privilege escalation can be achieved.,,BlackArch
aws-inventory,Information Gathering,1. Information Gathering / Reconnaissance,Discover resources created in an AWS account.,,BlackArch
awsbucketdump,Exploitation Tools,8. Exploitation Tools,A tool to quickly enumerate AWS S3 buckets to look for loot.,,BlackArch
azazel,Backdoor,2. Maintaining Access,A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.,,BlackArch
aztarna,Information Gathering,1. Information Gathering / Reconnaissance,A footprinting tool for ROS and SROS systems.,,BlackArch
backcookie,Backdoor,2. Maintaining Access,Small backdoor using cookie.,,BlackArch
backdoor-apk,Mobile Analysis,4. Mobile Analysis,Shell script that simplifies the process of adding a backdoor to any Android APK file,,BlackArch
backdoor-factory,Backdoor,2. Maintaining Access,Patch win32/64 binaries with shellcode.,,BlackArch
backdoorme,Backdoor,2. Maintaining Access,A powerful utility capable of backdooring Unix machines with a slew of backdoors.,,BlackArch
backdoorppt,Backdoor,2. Maintaining Access,Transform your payload.exe into one fake word doc (.ppt).,,BlackArch
backfuzz,Fuzzing Tools,16. Fuzzing Tools,A network protocol fuzzing toolkit.,,BlackArch
backhack,Mobile Analysis,4. Mobile Analysis,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.",,BlackArch
backoori,Exploitation Tools,8. Exploitation Tools,Tool aided persistence via Windows URI schemes abuse.,,BlackArch
backorifice,Backdoor,2. Maintaining Access,A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.,,BlackArch
bad-pdf,Exploitation Tools,8. Exploitation Tools,Steal NTLM Hashes with Bad-PDF.,,BlackArch
badkarma,Information Gathering,1. Information Gathering / Reconnaissance,Advanced network reconnaissance toolkit.,,BlackArch
badministration,Web Application Analysis,3. Web Application Analysis,A tool which interfaces with management or administration applications from an offensive standpoint.,,BlackArch
bagbak,Mobile Analysis,4. Mobile Analysis,Yet another frida based App decryptor.,,BlackArch
balbuzard,Malware Analysis,5. Malware Analysis,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).",,BlackArch
bamf-framework,Malware Analysis,5. Malware Analysis,A modular framework designed to be a platform to launch attacks against botnets.,,BlackArch
bandicoot,Mobile Analysis,4. Mobile Analysis,A toolbox to analyze mobile phone metadata.,,BlackArch
banjax,Information Gathering,1. Information Gathering / Reconnaissance,A DNS threat intelligence tool.,,BlackArch
barmie,Network Scanners,52. Network Protocol Analysis,Java RMI enumeration and attack tool.,,BlackArch
barq,Exploitation Tools,8. Exploitation Tools,An AWS Cloud Post Exploitation framework.,,BlackArch
basedomainname,Information Gathering,1. Information Gathering / Reconnaissance,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.",,BlackArch
bashfuscator,Exploitation Tools,8. Exploitation Tools,Fully configurable and extendable Bash obfuscation framework.,,BlackArch
bashscan,Network Scanners,52. Network Protocol Analysis,A port scanner built to utilize /dev/tcp for network and service discovery.,,BlackArch
batctl,Wireless Attacks,6. Wireless Attacks,B.A.T.M.A.N. advanced control and management tool,,BlackArch
batman-adv,Wireless Attacks,6. Wireless Attacks,"Batman kernel module, (included upstream since .38)",,BlackArch
batman-alfred,Wireless Attacks,6. Wireless Attacks,Almighty Lightweight Fact Remote Exchange Daemon.,,BlackArch
bbqsql,Web Application Analysis,3. Web Application Analysis,SQL injection exploit tool.,,BlackArch
bbscan,Web Application Analysis,3. Web Application Analysis,A tiny Batch web vulnerability Scanner.,,BlackArch
bdfproxy,Proxy,9. Sniffing & Spoofing,Patch Binaries via MITM: BackdoorFactory + mitmProxy,,BlackArch
bed,Exploitation Tools,8. Exploitation Tools,"Collection of scripts to test for buffer overflows, format string vulnerabilities.",,BlackArch
beef,Exploitation Tools,8. Exploitation Tools,The Browser Exploitation Framework that focuses on the web browser.,,BlackArch
beeswarm,Honeypot,48. Honeypot Tools,Honeypot deployment made easy http://www.beeswarm-ids.org/,,BlackArch
belati,Network Scanners,52. Network Protocol Analysis,The Traditional Swiss Army Knife for OSINT.,,BlackArch
beleth,Password Attacks,26. Password Attacks,A Multi-threaded Dictionary based SSH cracker.,,BlackArch
bettercap,Sniffing & Spoofing,9. Sniffing & Spoofing,Swiss army knife for network attacks and monitoring,,BlackArch
bettercap-ui,Sniffing & Spoofing,9. Sniffing & Spoofing,Official Bettercap's Web UI.,,BlackArch
bfac,Information Gathering,1. Information Gathering / Reconnaissance,An automated tool that checks for backup artifacts that may disclose the web-application's source code.,,BlackArch
bfbtester,Exploitation Tools,8. Exploitation Tools,Performs checks of single and multiple argument command line overflows and environment variable overflows,,BlackArch
bfuzz,Fuzzing Tools,16. Fuzzing Tools,Input based fuzzer tool for browsers.,,BlackArch
bgp-md5crack,Password Attacks,26. Password Attacks,RFC2385 password cracker,,BlackArch
bgrep,Binary Analysis,33. Code Analysis,Binary grep.,,BlackArch
billcipher,Information Gathering,1. Information Gathering / Reconnaissance,Information Gathering tool for a Website or IP address.,,BlackArch
binaryninja-demo,Reverse Engineering,30. Firmware Analysis Tools,A new kind of reversing platform (demo version).,,BlackArch
binaryninja-python,Binary Analysis,33. Code Analysis,Binary Ninja prototype written in Python.,,BlackArch
bindiff,Binary Analysis,33. Code Analysis,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.",,BlackArch
binex,Exploitation Tools,8. Exploitation Tools,Format String exploit building tool.,,BlackArch
binflow,Binary Analysis,33. Code Analysis,POSIX function tracing. Much better and faster than ftrace.,,BlackArch
bing-ip2hosts,Information Gathering,1. Information Gathering / Reconnaissance,Enumerates all hostnames which Bing has indexed for a specific IP address.,,BlackArch
bing-lfi-rfi,Web Application Analysis,3. Web Application Analysis,Python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.,,BlackArch
bingoo,Network Scanners,52. Network Protocol Analysis,A Linux bash based Bing and Google Dorking Tool.,,BlackArch
binnavi,Reverse Engineering,30. Firmware Analysis Tools,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",,BlackArch
binproxy,Proxy,9. Sniffing & Spoofing,A proxy for arbitrary TCP connections.,,BlackArch
binwalk,Reverse Engineering,30. Firmware Analysis Tools,Tool for searching a given binary image for embedded files and executable code,,BlackArch
binwally,Binary Analysis,33. Code Analysis,Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).,,BlackArch
bios_memimage,Password Attacks,26. Password Attacks,A tool to dump RAM contents to disk (aka cold boot attack).,,BlackArch
birp,Network Scanners,52. Network Protocol Analysis,A tool that will assist in the security assessment of mainframe applications served over TN3270.,,BlackArch
bitdump,Exploitation Tools,8. Exploitation Tools,A tool to extract database data from a blind SQL injection vulnerability.,,BlackArch
bittwist,Sniffing & Spoofing,9. Sniffing & Spoofing,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.",,BlackArch
bkhive,Password Attacks,26. Password Attacks,Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.,,BlackArch
blackbox-scanner,Network Scanners,52. Network Protocol Analysis,Dork scanner & bruteforcing & hash cracker with blackbox framework.,,BlackArch
blackeye,Social Engineering,13. Social Engineering Tools,Ultimate phishing tool with ngrok and serveo.,,BlackArch
blackhash,Password Attacks,26. Password Attacks,Creates a filter from system hashes.,,BlackArch
blacknurse,Stress Testing,15. Stress Testing,A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.,,BlackArch
bleah,Network Scanners,52. Network Protocol Analysis,A BLE scanner for 'smart' devices hacking.,,BlackArch
blindelephant,Fingerprinting,18. Web & Network Analysis,A web application fingerprinter. Attempts to discover the version of a (known) web application by comparing static files at known locations,,BlackArch
blindsql,Database Assessment,44. Database Exploitation,Set of bash scripts for blind SQL injection attacks.,,BlackArch
blindy,Network Scanners,52. Network Protocol Analysis,Simple script to automate brutforcing blind sql injection vulnerabilities.,,BlackArch
blisqy,Web Application Analysis,3. Web Application Analysis,Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).,,BlackArch
bloodhound,Information Gathering,1. Information Gathering / Reconnaissance,Six Degrees of Domain Admin,,BlackArch
bloodhound-python,Information Gathering,1. Information Gathering / Reconnaissance,Bloodhound python data collector,,BlackArch
bloodyad,Exploitation Tools,8. Exploitation Tools,An Active Directory Privilege Escalation Framework.,,BlackArch
blue-hydra,Bluetooth,49. Bluetooth,A Bluetooth device discovery service built on top of the bluez library.,,BlackArch
bluebox-ng,VoIP,76. VoIP,A GPL VoIP/UC vulnerability scanner.,,BlackArch
bluebugger,Bluetooth,49. Bluetooth,An implementation of the bluebug technique which was discovered by Martin Herfurt.,,BlackArch
bluediving,Bluetooth,49. Bluetooth,A Bluetooth penetration testing suite.,,BlackArch
bluefog,Bluetooth,49. Bluetooth,A tool that can generate an essentially unlimited number of phantom Bluetooth devices.,,BlackArch
bluelog,Bluetooth,49. Bluetooth,"A Bluetooth scanner and sniffer written to do a single task, log devices that are in discoverable mode.",,BlackArch
bluepot,Honeypot,48. Honeypot Tools,"A Bluetooth Honeypot written in Java, it runs on Linux.",,BlackArch
blueprint,Bluetooth,49. Bluetooth,A perl tool to identify Bluetooth devices.,,BlackArch
blueranger,Bluetooth,49. Bluetooth,A simple Bash script which uses Link Quality to locate Bluetooth device radios.,,BlackArch
bluescan,Bluetooth,49. Bluetooth,A Bluetooth Device Scanner.,,BlackArch
bluesnarfer,Bluetooth,49. Bluetooth,A bluetooth attacking tool.,,BlackArch
bluphish,Bluetooth,49. Bluetooth,Bluetooth device and service discovery tool that can be used for security assessment and penetration testing.,,BlackArch
bmap-tools,Forensics,11. Forensics,Tool for copying largely sparse files using information from a block map file.,,BlackArch
bmc-tools,Forensics,11. Forensics,RDP Bitmap Cache parser.,,BlackArch
bob-the-butcher,Password Attacks,26. Password Attacks,A distributed password cracker package.,,BlackArch
0d1n,webapp ,,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",https://github.com/CoolerVoid/0d1n,BlackArch
0trace,scanner ,,A hop enumeration tool.,http://jon.oberheide.org/0trace/,BlackArch
3proxy,proxy ,,Tiny free proxy server.,https://github.com/3proxy/3proxy,BlackArch
42zip,dos ,,Recursive Zip archive bomb.,http://blog.fefe.de/?ts=b6cea88d,BlackArch
a2sv,scanner ,,Auto Scanning to SSL Vulnerability.,https://github.com/hahwul/a2sv,BlackArch
abcd,disassembler ,,ActionScript ByteCode Disassembler.,https://github.com/MITRECND/abcd,BlackArch
abuse-ssl-bypass-waf,webapp ,,Bypassing WAF by abusing SSL/TLS Ciphers.,https://github.com/LandGrey/abuse-ssl-bypass-waf,BlackArch
acccheck,cracker ,,A password dictionary attack tool that targets windows authentication via the SMB protocol.,http://labs.portcullis.co.uk/tools/acccheck/,BlackArch
ace,voip ,,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,http://ucsniff.sourceforge.net/ace.html,BlackArch
aclpwn,exploitation ,,Active Directory ACL exploitation with BloodHound.,https://github.com/fox-it/aclpwn.py,BlackArch
activedirectoryenum,recon ,,Enumerate AD through LDAP.,https://github.com/CasperGN/ActiveDirectoryEnumeration,BlackArch
ad-ldap-enum,recon ,,An LDAP based Active Directory user and group enumeration tool.,https://github.com/CroweCybersecurity/ad-ldap-enum,BlackArch
ad-miner,recon ,,Active Directory audit tool that extract data from Bloodhound to uncover security weaknesses and generate an HTML report,https://github.com/Mazars-Tech/AD_Miner,BlackArch
adape-script,windows ,,Active Directory Assessment and Privilege Escalation Script.,https://github.com/hausec/ADAPE-Script,BlackArch
adenum,exploitation ,,A pentesting tool that allows to find misconfiguration through the the protocol LDAP and exploit some of those weaknesses with kerberos.,https://github.com/SecuProject/ADenum,BlackArch
adfind,webapp ,,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.",https://github.com/sahakkhotsanyan/adfind,BlackArch
adfspray,cracker ,,Python3 tool to perform password spraying against Microsoft Online service using various methods.,https://github.com/xFreed0m/ADFSpray,BlackArch
adidnsdump,recon ,,Active Directory Integrated DNS dumping by any authenticated user.,https://github.com/dirkjanm/adidnsdump,BlackArch
admid-pack,spoof ,,ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.,http://packetstormsecurity.com/files/10080/ADMid-pkg.tgz.html,BlackArch
adminpagefinder,webapp ,,This python script looks for a large amount of possible administrative interfaces on a given site.,http://packetstormsecurity.com/files/112855/Admin-Page-Finder-Script.html,BlackArch
admsnmp,scanner ,,ADM SNMP audit scanner.,,BlackArch
aesfix,cracker ,,A tool to find AES key in RAM.,http://citp.princeton.edu/memory/code/,BlackArch
aeskeyfind,cracker ,,A tool to find AES key in RAM.,http://citp.princeton.edu/memory/code/,BlackArch
aespipe,crypto ,,Reads data from stdin and outputs encrypted or decrypted results to stdout.,http://loop-aes.sourceforge.net/aespipe/,BlackArch
aesshell,backdoor ,,A backconnect shell for Windows and Unix written in python and uses AES in CBC mode in conjunction with HMAC-SHA256 for secure transport.,https://packetstormsecurity.com/files/132438/AESshell.7.html,BlackArch
afflib,forensic ,,An extensible open format for the storage of disk images and related forensic information.,https://github.com/sshock/AFFLIBv3,BlackArch
afl++,fuzzer ,,instrumentation-driven fuzzer for binary format,https://aflplus.plus/,BlackArch
afpfs-ng,networking ,,A client for the Apple Filing Protocol (AFP),http://alexthepuffin.googlepages.com/,BlackArch
agafi,windows ,,A gadget finder and a ROP-Chainer tool for x86 platforms.,https://github.com/CoreSecurity/Agafi,BlackArch
against,cracker ,,A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.,http://nullsecurity.net/tools/cracker.html,BlackArch
aggroargs,exploitation ,,"Bruteforce commandline buffer overflows, linux, aggressive arguments.",https://github.com/tintinweb/aggroArgs,BlackArch
aiengine,networking ,,A packet inspection engine with capabilities of learning without any human intervention.,https://bitbucket.org/camp0/aiengine/downloads/,BlackArch
aimage,forensic ,,A program to create aff-images.,http://www.afflib.org,BlackArch
aiodnsbrute,recon ,,Python 3 DNS asynchronous brute force utility.,https://github.com/blark/aiodnsbrute,BlackArch
air,forensic ,,A GUI front-end to dd/dc3dd designed for easily creating forensic images.,https://sourceforge.net/projects/air-imager/,BlackArch
aircrack-ng,wireless ,,Key cracker for the 802.11 WEP and WPA-PSK protocols,https://www.aircrack-ng.org,BlackArch
airflood,wireless ,,A modification of aireplay that allows for a DoS of the AP. This program fills the table of clients of the AP with random MACs doing impossible new connections. [Tool in Spanish],http://packetstormsecurity.com/files/51127/airflood.1.tar.gz.html,BlackArch
airgeddon,wireless ,,Multi-use bash script for Linux systems to audit wireless networks.,https://github.com/v1s1t0r1sh3r3/airgeddon,BlackArch
airopy,wireless ,,Get (wireless) clients and access points.,https://github.com/Josue87/Airopy,BlackArch
airoscript,wireless ,,A script to simplify the use of aircrack-ng tools.,http://midnightresearch.com/projects/wicrawl/,BlackArch
airpwn,wireless ,,A tool for generic packet injection on an 802.11 network.,http://airpwn.sourceforge.net,BlackArch
ajpfuzzer,fuzzer ,,A command-line fuzzer for the Apache JServ Protocol (ajp13).,https://github.com/doyensec/ajpfuzzer,BlackArch
albatar,webapp ,,A SQLi exploitation framework in Python.,https://github.com/lanjelot/albatar,BlackArch
allthevhosts,scanner ,,A vhost discovery tool that scrapes various web applications.,http://labs.portcullis.co.uk/tools/finding-all-the-vhosts/,BlackArch
altdns,recon ,,"Generates permutations, alterations and mutations of subdomains and then resolves them.",https://github.com/infosec-au/altdns,BlackArch
amass,scanner ,,In-depth subdomain enumeration written in Go.,https://github.com/OWASP/Amass,BlackArch
amber,binary ,,Reflective PE packer.,https://github.com/EgeBalci/Amber,BlackArch
amoco,binary ,,Yet another tool for analysing binaries.,https://github.com/bdcht/amoco,BlackArch
analyzemft,forensic ,,Parse the MFT file from an NTFS filesystem.,https://github.com/dkovar/analyzeMFT,BlackArch
analyzepesig,windows ,,Analyze digital signature of PE file.,https://blog.didierstevens.com/my-software/#AnalyzePESig,BlackArch
androbugs,mobile ,,An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.,https://github.com/AndroBugs/AndroBugs_Framework,BlackArch
androguard,binary ,,"Reverse engineering, Malware and goodware analysis of Android applications and more.",https://github.com/androguard/androguard,BlackArch
androick,mobile ,,A python tool to help in forensics analysis on android.,https://github.com/Flo354/Androick,BlackArch
android-apktool,reversing ,,A tool for reverse engineering Android apk files.,https://github.com/iBotPeaches/Apktool/releases,BlackArch
android-ndk,mobile ,,Android C/C++ developer kit,https://developer.android.com/sdk/ndk/index.html,BlackArch
android-sdk,mobile ,,Google Android SDK,https://developer.android.com/studio/releases/sdk-tools.html,BlackArch
android-udev-rules,mobile ,,Android udev rules.,https://github.com/bbqlinux/android-udev-rules,BlackArch
androidpincrack,mobile ,,Bruteforce the Android Passcode given the hash and salt.,https://github.com/PentesterES/AndroidPINCrack,BlackArch
androidsniffer,mobile ,,"A perl script that lets you search for 3rd party passwords, dump the call log, dump contacts, dump wireless configuration, and more.",http://packetstormsecurity.com/files/97464/Andr01d-Magic-Dumper.1.html,BlackArch
androwarn,mobile ,,Yet another static code analyzer for malicious Android applications.,https://github.com/maaaaz/androwarn,BlackArch
angr,binary ,,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,https://pypi.org/project/angr/#files,BlackArch
angr-management,binary ,,This is the GUI for angr.,https://pypi.org/project/angr-management/#files,BlackArch
angr-py2,binary ,,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,https://pypi.org/project/angr/#files,BlackArch
angrop,exploitation ,,A rop gadget finder and chain builder.,https://github.com/salls/angrop,BlackArch
anontwi,social ,,A free software python client designed to navigate anonymously on social networks. It supports Identi.ca and Twitter.com.,http://anontwi.sourceforge.net/,BlackArch
anti-xss,webapp ,,A XSS vulnerability scanner.,https://github.com/lewangbtcc/anti-XSS,BlackArch
antiransom,windows ,,A tool capable of detect and stop attacks of Ransomware using honeypots.,http://www.security-projects.com/?Anti_Ransom___Download,BlackArch
anubis,scanner ,,Subdomain enumeration and information gathering tool.,https://github.com/jonluca/anubis,BlackArch
apache-users,scanner ,,This perl script will enumerate the usernames on a unix system that use the apache module UserDir.,https://labs.portcullis.co.uk/downloads/,BlackArch
apachetomcatscanner,scanner ,,Apache Tomcat vulnerability scanner.,https://github.com/p0dalirius/ApacheTomcatScanner,BlackArch
apacket,networking ,,Sniffer syn and backscatter packets.,https://github.com/Acey9/apacket,BlackArch
aphopper,wireless ,,A program that automatically hops between access points of different wireless networks.,http://aphopper.sourceforge.net/,BlackArch
apkid,mobile ,,"Android Application Identifier for Packers, Protectors, Obfuscators and Oddities.",https://github.com/rednaga/APKiD,BlackArch
apkleaks,mobile ,,"Scanning APK file for URIs, endpoints & secrets.",https://github.com/dwisiswant0/apkleaks,BlackArch
apkstat,mobile ,,Automated Information Retrieval From APKs For Initial Analysis.,https://github.com/hexabin/APKStat,BlackArch
apkstudio,reversing ,,An IDE for decompiling/editing & then recompiling of android application binaries.,http://www.vaibhavpandey.com/apkstudio/,BlackArch
apkurlgrep,mobile ,,Extract endpoints from APK files.,https://github.com/ndelphit/apkurlgrep,BlackArch
apnbf,wireless ,,A small python script designed for enumerating valid APNs (Access Point Name) on a GTP-C speaking device.,http://www.c0decafe.de/,BlackArch
appmon,mobile ,,"A runtime security testing & profiling framework for native apps on macOS, iOS & android and it is built using Frida.",https://github.com/dpnishant/appmon,BlackArch
apt2,automation ,,Automated penetration toolkit.,https://github.com/MooseDojo/apt2,BlackArch
aquatone,recon ,,A Tool for Domain Flyovers.,https://github.com/shelld3v/aquatone,BlackArch
arachni,webapp ,,"A feature-full, modular, high-performance Ruby framework aimed towards helping penetration testers and administrators evaluate the security of web applications.",https://www.arachni-scanner.com,BlackArch
aranea,spoof ,,A fast and clean dns spoofing tool.,https://github.com/TigerSecurity,BlackArch
arcane,mobile ,,Backdoor iOS packages and create the necessary resources for APT repositories.,https://github.com/tokyoneon/Arcane,BlackArch
archivebox,misc ,,"The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more.",https://github.com/pirate/ArchiveBox,BlackArch
ares,cracker ,,Automated decoding of encrypted text without knowing the key or ciphers used.,https://github.com/bee-san/Ares,BlackArch
argon2,crypto ,,A password-hashing function (reference C implementation),https://github.com/P-H-C/phc-winner-argon2,BlackArch
argus,networking ,,Network monitoring tool with flow control.,http://qosient.com/argus/,BlackArch
argus-clients,networking ,,Network monitoring client for Argus.,http://qosient.com/argus/,BlackArch
arjun,webapp ,,HTTP parameter discovery suite.,https://github.com/s0md3v/Arjun,BlackArch
armitage,exploitation ,,A graphical cyber attack management tool for Metasploit.,http://www.fastandeasyhacking.com/,BlackArch
armor,exploitation ,,A simple Bash script designed to create encrypted macOS payloads capable of evading antivirus scanners.,https://github.com/tokyoneon/Armor,BlackArch
armscgen,exploitation ,,ARM Shellcode Generator (Mostly Thumb Mode).,https://github.com/alexpark07/ARMSCGen,BlackArch
arp-scan,networking ,,A tool that uses ARP to discover and fingerprint IP hosts on the local network,https://github.com/royhills/arp-scan,BlackArch
arpalert,networking ,,Monitor ARP changes in ethernet networks.,http://www.arpalert.org/,BlackArch
arpoison,exploitation ,,The UNIX arp cache update utility,http://www.arpoison.net,BlackArch
arpon,defensive ,,"A portable handler daemon that make ARP protocol secure in order to avoid the Man In The Middle (MITM) attack through ARP Spoofing, ARP Cache Poisoning or ARP Poison Routing (APR) attacks.",http://arpon.sourceforge.net/,BlackArch
arpstraw,defensive ,,Arp spoof detection tool.,https://github.com/he2ss/arpstraw,BlackArch
arptools,networking ,,"A simple tool about ARP broadcast, ARP attack, and data transmission.",https://github.com/Lab-Zjt/ARPTools,BlackArch
arpwner,networking ,,GUI-based python tool for arp poisoning and dns poisoning attacks.,https://github.com/ntrippar/ARPwner,BlackArch
artillery,defensive ,,"A combination of a honeypot, file-system monitoring, system hardening, and overall health of a server to create a comprehensive way to secure a system.",https://www.trustedsec.com/downloads/artillery/,BlackArch
artlas,defensive ,,Apache Real Time Logs Analyzer System.,https://github.com/mthbernardes/ARTLAS,BlackArch
arybo,misc ,,"Manipulation, canonicalization and identification of mixed boolean-arithmetic symbolic expressions.",https://github.com/quarkslab/arybo,BlackArch
asleap,cracker ,,Actively recover LEAP/PPTP passwords.,http://www.willhackforsushi.com/Asleap.html,BlackArch
asnmap,networking ,,Map organization network ranges using ASN information.,https://github.com/projectdiscovery/asnmap,BlackArch
asp-audit,fingerprint ,,An ASP fingerprinting tool and vulnerability scanner.,http://seclists.org/basics/2006/Sep/128,BlackArch
assetfinder,scanner ,,Find domains and subdomains potentially related to a given domain.,https://github.com/tomnomnom/assetfinder,BlackArch
astra,webapp ,,Automated Security Testing For REST API's.,https://github.com/flipkart-incubator/astra,BlackArch
atear,wireless ,,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.",https://github.com/NORMA-Inc/AtEar,BlackArch
atftp,networking ,,"Client/server implementation of the TFTP protocol that implements RFCs 1350, 2090, 2347, 2348, and 2349",https://sourceforge.net/projects/atftp/,BlackArch
athena-ssl-scanner,scanner ,,A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.,http://packetstormsecurity.com/files/93062/Athena-SSL-Cipher-Scanner.html,BlackArch
atlas,webapp ,,Open source tool that can suggest sqlmap tampers to bypass WAF/IDS/IPS.,https://github.com/m4ll0k/Atlas,BlackArch
atscan,scanner ,,"Server, Site and Dork Scanner.",https://github.com/AlisamTechnology/ATSCAN-V3.1,BlackArch
atstaketools,windows ,,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.",http://packetstormsecurity.com/files/50718/AtStakeTools.zip.html,BlackArch
attacksurfacemapper,recon ,,Tool that aims to automate the reconnaissance process.,https://github.com/superhedgy/AttackSurfaceMapper,BlackArch
attk,scanner ,,Trend Micro Anti-Threat Toolkit.,https://spnsupport.trendmicro.com/,BlackArch
aurebeshjs,misc ,,Translate JavaScript to Other Alphabets.,https://github.com/aemkei/aurebesh.js,BlackArch
auto-eap,wireless ,,Automated Brute-Force Login Attacks Against EAP Networks.,https://github.com/Tylous/Auto_EAP,BlackArch
auto-xor-decryptor,crypto ,,Automatic XOR decryptor tool.,https://github.com/MRGEffitas/scripts,BlackArch
